"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-102.57","50.37","BROADVIEW","4010879","2015-01-01","2015","01","01","","-4.9","","-12.7","","-8.8","","26.8","","0.0","","","M","","M","0.7","","9","","31","","32",""
"-102.57","50.37","BROADVIEW","4010879","2015-01-02","2015","01","02","","-3.9","","-19.6","","-11.8","","29.8","","0.0","","","M","","M","6.2","","7","","31","","46",""
"-102.57","50.37","BROADVIEW","4010879","2015-01-03","2015","01","03","","-19.5","","-29.9","","-24.7","","42.7","","0.0","","","M","","M","0.2","","14","","36","","39",""
"-102.57","50.37","BROADVIEW","4010879","2015-01-04","2015","01","04","","-26.9","","-34.9","","-30.9","","48.9","","0.0","","","M","","M","0.2","","12","","30","","37",""
"-102.57","50.37","BROADVIEW","4010879","2015-01-05","2015","01","05","","-19.3","","-31.3","","-25.3","","43.3","","0.0","","","M","","M","0.0","","14","","31","","35",""
"-102.57","50.37","BROADVIEW","4010879","2015-01-06","2015","01","06","","-20.7","","-25.4","","-23.1","","41.1","","0.0","","","M","","M","0.0","","11","","31","","46",""
"-102.57","50.37","BROADVIEW","4010879","2015-01-07","2015","01","07","","-13.0","","-29.4","","-21.2","","39.2","","0.0","","","M","","M","0.0","","10","","21","","39",""
"-102.57","50.37","BROADVIEW","4010879","2015-01-08","2015","01","08","","-13.2","","-21.7","","-17.5","","35.5","","0.0","","","M","","M","0.8","","9","","32","","70",""
"-102.57","50.37","BROADVIEW","4010879","2015-01-09","2015","01","09","","-18.9","","-24.1","","-21.5","","39.5","","0.0","","","M","","M","0.0","","8","","28","","41",""
"-102.57","50.37","BROADVIEW","4010879","2015-01-10","2015","01","10","","-20.9","","-27.5","","-24.2","","42.2","","0.0","","","M","","M","0.0","","8","","","","<31",""
