"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-102.57","50.37","BROADVIEW","4010879","2013-01-01","2013","01","01","","-1.5","","-15.8","","-8.7","","26.7","","0.0","","","M","","M","0.3","","18","","32","","56",""
"-102.57","50.37","BROADVIEW","4010879","2013-01-02","2013","01","02","","-2.3","","-14.5","","-8.4","","26.4","","0.0","","","M","","M","0.0","","18","","34","","39",""
"-102.57","50.37","BROADVIEW","4010879","2013-01-03","2013","01","03","","-2.9","","-14.3","","-8.6","","26.6","","0.0","","","M","","M","0.0","","17","","25","","39",""
"-102.57","50.37","BROADVIEW","4010879","2013-01-04","2013","01","04","","-5.8","","-14.5","","-10.2","","28.2","","0.0","","","M","","M","0.0","","17","","","","<31",""
"-102.57","50.37","BROADVIEW","4010879","2013-01-05","2013","01","05","","-7.5","","-13.8","","-10.7","","28.7","","0.0","","","M","","M","0.0","","17","","26","","32",""
"-102.57","50.37","BROADVIEW","4010879","2013-01-06","2013","01","06","","-0.2","","-8.7","","-4.5","","22.5","","0.0","","","M","","M","0.0","","17","","28","","50",""
"-102.57","50.37","BROADVIEW","4010879","2013-01-07","2013","01","07","","-0.1","","-16.0","","-8.1","","26.1","","0.0","","","M","","M","0.0","","17","","29","","50",""
"-102.57","50.37","BROADVIEW","4010879","2013-01-08","2013","01","08","","-0.5","","-16.0","","-8.3","","26.3","","0.0","","","M","","M","0.0","","17","","32","","63",""
"-102.57","50.37","BROADVIEW","4010879","2013-01-09","2013","01","09","","1.1","","-13.3","","-6.1","","24.1","","0.0","","","M","","M","0.0","","14","","32","","48",""
"-102.57","50.37","BROADVIEW","4010879","2013-01-10","2013","01","10","","2.6","","-10.7","","-4.1","","22.1","","0.0","","","M","","M","0.0","","14","","36","","44",""
"-102.57","50.37","BROADVIEW","4010879","2013-01-11","2013","01","11","","-10.7","","-20.8","","-15.8","","33.8","","0.0","","","M","","M","1.4","","14","","20","","54",""
"-102.57","50.37","BROADVIEW","4010879","2013-01-12","2013","01","12","","-16.6","","-27.2","","-21.9","","39.9","","0.0","","","M","","M","0.0","","14","","34","","37",""
"-102.57","50.37","BROADVIEW","4010879","2013-01-13","2013","01","13","","-17.7","","-21.7","","-19.7","","37.7","","0.0","","","M","","M","0.0","","14","","","","<31",""
"-102.57","50.37","BROADVIEW","4010879","2013-01-14","2013","01","14","","-19.7","","-29.1","","-24.4","","42.4","","0.0","","","M","","M","0.0","","14","","","","<31",""
"-102.57","50.37","BROADVIEW","4010879","2013-01-15","2013","01","15","","2.4","","-26.1","","-11.9","","29.9","","0.0","","","M","","M","0.3","","14","","33","","48",""
"-102.57","50.37","BROADVIEW","4010879","2013-01-16","2013","01","16","","-4.5","","-16.0","","-10.3","","28.3","","0.0","","0.0","","","M","1.0","","13","","34","","35",""
"-102.57","50.37","BROADVIEW","4010879","2013-01-17","2013","01","17","","-10.9","","-19.0","","-15.0","","33.0","","0.0","","","M","","M","0.6","","17","","13","","35",""
"-102.57","50.37","BROADVIEW","4010879","2013-01-18","2013","01","18","","1.2","","-12.0","","-5.4","","23.4","","0.0","","","M","","M","0.0","","14","","31","","39",""
"-102.57","50.37","BROADVIEW","4010879","2013-01-19","2013","01","19","","0.3","","-22.9","","-11.3","","29.3","","0.0","","","M","","M","0.0","","20","","33","","61",""
